date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:44:15	20335/20335	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2026%20Jun%202014%2009:14:12%20GMT	http://hastech.company/tf/academia-preview/academia/fonts/glyphicons-halflings-regular.eot	C:/Users/Nguyen%20Hoang%20Chuong/Desktop/my%20web/chuongnh/hastech.company/tf/academia-preview/academia/fonts/glyphicons-halflings-regular.eot	(from http://hastech.company/tf/academia-preview/academia/css/bootstrap.min.css)
12:44:16	20335/20335	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2026%20Jun%202014%2009:14:12%20GMT	http://hastech.company/tf/academia-preview/academia/fonts/glyphicons-halflings-regular.eot?	C:/Users/Nguyen%20Hoang%20Chuong/Desktop/my%20web/chuongnh/hastech.company/tf/academia-preview/academia/fonts/glyphicons-halflings-regulard41d.eot	(from http://hastech.company/tf/academia-preview/academia/css/bootstrap.min.css)
12:44:18	62927/62927	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2026%20Jun%202014%2009:14:12%20GMT	http://hastech.company/tf/academia-preview/academia/fonts/glyphicons-halflings-regular.svg	C:/Users/Nguyen%20Hoang%20Chuong/Desktop/my%20web/chuongnh/hastech.company/tf/academia-preview/academia/fonts/glyphicons-halflings-regular.svg	(from http://hastech.company/tf/academia-preview/academia/css/bootstrap.min.css)
12:44:18	23320/23320	---M--	200	added ('OK')	application/x-font-woff	date:Thu,%2026%20Jun%202014%2009:14:12%20GMT	http://hastech.company/tf/academia-preview/academia/fonts/glyphicons-halflings-regular.woff	C:/Users/Nguyen%20Hoang%20Chuong/Desktop/my%20web/chuongnh/hastech.company/tf/academia-preview/academia/fonts/glyphicons-halflings-regular.woff	(from http://hastech.company/tf/academia-preview/academia/css/bootstrap.min.css)
12:44:23	41280/41280	---M--	200	added ('OK')	application/x-font-ttf	date:Thu,%2026%20Jun%202014%2009:14:12%20GMT	http://hastech.company/tf/academia-preview/academia/fonts/glyphicons-halflings-regular.ttf	C:/Users/Nguyen%20Hoang%20Chuong/Desktop/my%20web/chuongnh/hastech.company/tf/academia-preview/academia/fonts/glyphicons-halflings-regular.ttf	(from http://hastech.company/tf/academia-preview/academia/css/bootstrap.min.css)
12:44:27	56006/56006	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2026%20Aug%202014%2011:46:50%20GMT	http://hastech.company/tf/academia-preview/academia/fonts/fontawesome-webfont.eot?v=4.2.0	C:/Users/Nguyen%20Hoang%20Chuong/Desktop/my%20web/chuongnh/hastech.company/tf/academia-preview/academia/fonts/fontawesome-webfont78ce.eot	(from http://hastech.company/tf/academia-preview/academia/css/font-awesome.min.css)
12:44:28	56006/56006	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2026%20Aug%202014%2011:46:50%20GMT	http://hastech.company/tf/academia-preview/academia/fonts/fontawesome-webfont.eot?	C:/Users/Nguyen%20Hoang%20Chuong/Desktop/my%20web/chuongnh/hastech.company/tf/academia-preview/academia/fonts/fontawesome-webfontd41d.eot	(from http://hastech.company/tf/academia-preview/academia/css/font-awesome.min.css)
12:44:33	287007/287007	---M--	200	added ('OK')	image/svg+xml	date:Tue,%2026%20Aug%202014%2011:46:50%20GMT	http://hastech.company/tf/academia-preview/academia/fonts/fontawesome-webfont.svg?v=4.2.0	C:/Users/Nguyen%20Hoang%20Chuong/Desktop/my%20web/chuongnh/hastech.company/tf/academia-preview/academia/fonts/fontawesome-webfont78ce.svg	(from http://hastech.company/tf/academia-preview/academia/css/font-awesome.min.css)
12:44:37	65452/65452	---M--	200	added ('OK')	application/x-font-woff	date:Tue,%2026%20Aug%202014%2011:46:50%20GMT	http://hastech.company/tf/academia-preview/academia/fonts/fontawesome-webfont.woff?v=4.2.0	C:/Users/Nguyen%20Hoang%20Chuong/Desktop/my%20web/chuongnh/hastech.company/tf/academia-preview/academia/fonts/fontawesome-webfont78ce.woff	(from http://hastech.company/tf/academia-preview/academia/css/font-awesome.min.css)
12:44:37	12218/12218	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2026%20Sep%202016%2005:44:31%20GMT	http://hastech.company/tf/academia-preview/academia/css/grabbing.png	C:/Users/Nguyen%20Hoang%20Chuong/Desktop/my%20web/chuongnh/hastech.company/tf/academia-preview/academia/css/grabbing.74.delayed	(from http://hastech.company/tf/academia-preview/academia/css/owl.carousel.css)
12:44:41	12224/12224	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2026%20Sep%202016%2005:44:36%20GMT	http://hastech.company/tf/academia-preview/academia/css/AjaxLoader.gif	C:/Users/Nguyen%20Hoang%20Chuong/Desktop/my%20web/chuongnh/hastech.company/tf/academia-preview/academia/css/AjaxLoader.75.delayed	(from http://hastech.company/tf/academia-preview/academia/css/owl.theme.css)
12:44:42	1144/1144	---M--	200	added ('OK')	image/gif	date:Sun,%2015%20Nov%202015%2008:48:44%20GMT	http://hastech.company/tf/academia-preview/academia/venobox/close.gif	C:/Users/Nguyen%20Hoang%20Chuong/Desktop/my%20web/chuongnh/hastech.company/tf/academia-preview/academia/venobox/close.gif	(from http://hastech.company/tf/academia-preview/academia/venobox/venobox.css)
12:44:43	1177/1177	---M--	200	added ('OK')	image/gif	date:Sun,%2015%20Nov%202015%2008:48:44%20GMT	http://hastech.company/tf/academia-preview/academia/venobox/prev.gif	C:/Users/Nguyen%20Hoang%20Chuong/Desktop/my%20web/chuongnh/hastech.company/tf/academia-preview/academia/venobox/prev.gif	(from http://hastech.company/tf/academia-preview/academia/venobox/venobox.css)
12:44:44	15933/15933	---M--	200	added ('OK')	image/png	date:Sun,%2015%20Nov%202015%2008:48:44%20GMT	http://hastech.company/tf/academia-preview/academia/venobox/preload-circle.png	C:/Users/Nguyen%20Hoang%20Chuong/Desktop/my%20web/chuongnh/hastech.company/tf/academia-preview/academia/venobox/preload-circle.png	(from http://hastech.company/tf/academia-preview/academia/venobox/venobox.css)
12:44:44	1177/1177	---M--	200	added ('OK')	image/gif	date:Sun,%2015%20Nov%202015%2008:48:44%20GMT	http://hastech.company/tf/academia-preview/academia/venobox/next.gif	C:/Users/Nguyen%20Hoang%20Chuong/Desktop/my%20web/chuongnh/hastech.company/tf/academia-preview/academia/venobox/next.gif	(from http://hastech.company/tf/academia-preview/academia/venobox/venobox.css)
12:44:45	112160/112160	---M--	200	added ('OK')	application/x-font-ttf	date:Tue,%2026%20Aug%202014%2011:46:50%20GMT	http://hastech.company/tf/academia-preview/academia/fonts/fontawesome-webfont.ttf?v=4.2.0	C:/Users/Nguyen%20Hoang%20Chuong/Desktop/my%20web/chuongnh/hastech.company/tf/academia-preview/academia/fonts/fontawesome-webfont78ce.ttf	(from http://hastech.company/tf/academia-preview/academia/css/font-awesome.min.css)
12:44:49	1180857/1180857	---M--	200	added ('OK')	image/png	date:Tue,%2026%20Jan%202016%2015:33:10%20GMT	http://hastech.company/tf/academia-preview/academia/img/home1/book/2.png	C:/Users/Nguyen%20Hoang%20Chuong/Desktop/my%20web/chuongnh/hastech.company/tf/academia-preview/academia/img/home1/book/2.png	(from http://hastech.company/tf/academia-preview/academia/index-3.html)
12:45:18	210885/210885	---M--	200	added ('OK')	image/jpeg	date:Tue,%2026%20Jan%202016%2014:59:54%20GMT	http://hastech.company/tf/academia-preview/academia/img/video-img-1.jpg	C:/Users/Nguyen%20Hoang%20Chuong/Desktop/my%20web/chuongnh/hastech.company/tf/academia-preview/academia/img/video-img-1.jpg	(from http://hastech.company/tf/academia-preview/academia/css/style.css)
12:45:25	252002/252002	---M--	200	added ('OK')	image/png	date:Tue,%2026%20Jan%202016%2014:52:20%20GMT	http://hastech.company/tf/academia-preview/academia/img/transparent-back-1.png	C:/Users/Nguyen%20Hoang%20Chuong/Desktop/my%20web/chuongnh/hastech.company/tf/academia-preview/academia/img/transparent-back-1.png	(from http://hastech.company/tf/academia-preview/academia/css/style.css)
12:45:30	281244/281244	---M--	200	added ('OK')	image/jpeg	date:Tue,%2026%20Jan%202016%2014:19:56%20GMT	http://hastech.company/tf/academia-preview/academia/img/home1/team/action-bg.jpg	C:/Users/Nguyen%20Hoang%20Chuong/Desktop/my%20web/chuongnh/hastech.company/tf/academia-preview/academia/img/home1/team/action-bg.jpg	(from http://hastech.company/tf/academia-preview/academia/css/style.css)
12:45:34	279341/279341	---M--	200	added ('OK')	image/png	date:Tue,%2002%20Feb%202016%2015:45:06%20GMT	http://hastech.company/tf/academia-preview/academia/img/home3/banner-bg.png	C:/Users/Nguyen%20Hoang%20Chuong/Desktop/my%20web/chuongnh/hastech.company/tf/academia-preview/academia/img/home3/banner-bg.png	(from http://hastech.company/tf/academia-preview/academia/css/style.css)
12:47:27	801231/801231	---M--	200	added ('OK')	image/png	date:Tue,%2002%20Feb%202016%2014:35:20%20GMT	http://hastech.company/tf/academia-preview/academia/img/home2/transparent-back-2.png	C:/Users/Nguyen%20Hoang%20Chuong/Desktop/my%20web/chuongnh/hastech.company/tf/academia-preview/academia/img/home2/transparent-back-2.png	(from http://hastech.company/tf/academia-preview/academia/css/style.css)
12:47:40	76430/76430	---M--	200	added ('OK')	image/png	date:Sat,%2030%20Jan%202016%2012:49:02%20GMT	http://hastech.company/tf/academia-preview/academia/img/home3/campaign.png	C:/Users/Nguyen%20Hoang%20Chuong/Desktop/my%20web/chuongnh/hastech.company/tf/academia-preview/academia/img/home3/campaign.png	(from http://hastech.company/tf/academia-preview/academia/css/style.css)
12:47:45	832546/832546	---M--	200	added ('OK')	image/jpeg	date:Sat,%2030%20Jan%202016%2012:04:04%20GMT	http://hastech.company/tf/academia-preview/academia/img/home3/slide1.jpg	C:/Users/Nguyen%20Hoang%20Chuong/Desktop/my%20web/chuongnh/hastech.company/tf/academia-preview/academia/img/home3/slide1.jpg	(from http://hastech.company/tf/academia-preview/academia/css/style.css)
12:47:46	5244/5244	---M--	200	added ('OK')	image/png	date:Sun,%2007%20Feb%202016%2016:46:46%20GMT	http://hastech.company/tf/academia-preview/academia/img/bg_2.png	C:/Users/Nguyen%20Hoang%20Chuong/Desktop/my%20web/chuongnh/hastech.company/tf/academia-preview/academia/img/bg_2.png	(from http://hastech.company/tf/academia-preview/academia/css/style.css)
12:47:50	12254/12254	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2026%20Sep%202016%2005:47:45%20GMT	http://hastech.company/tf/academia-preview/academia/css/img/home3/campaign.png	C:/Users/Nguyen%20Hoang%20Chuong/Desktop/my%20web/chuongnh/hastech.company/tf/academia-preview/academia/css/img/home3/campaign.85.delayed	(from http://hastech.company/tf/academia-preview/academia/css/responsive.css)
12:47:55	944838/944838	---M--	200	added ('OK')	image/jpeg	date:Tue,%2002%20Feb%202016%2014:52:44%20GMT	http://hastech.company/tf/academia-preview/academia/img/home2/bg2.jpg	C:/Users/Nguyen%20Hoang%20Chuong/Desktop/my%20web/chuongnh/hastech.company/tf/academia-preview/academia/img/home2/bg2.jpg	(from http://hastech.company/tf/academia-preview/academia/css/style.css)
12:47:59	932502/932502	---M--	200	added ('OK')	image/jpeg	date:Sat,%2030%20Jan%202016%2012:37:28%20GMT	http://hastech.company/tf/academia-preview/academia/img/home3/offer3.jpg	C:/Users/Nguyen%20Hoang%20Chuong/Desktop/my%20web/chuongnh/hastech.company/tf/academia-preview/academia/img/home3/offer3.jpg	(from http://hastech.company/tf/academia-preview/academia/css/style.css)
12:48:02	242306/242306	---M--	200	added ('OK')	image/jpeg	date:Sun,%2031%20Jan%202016%2014:14:44%20GMT	http://hastech.company/tf/academia-preview/academia/img/home1/about.jpg	C:/Users/Nguyen%20Hoang%20Chuong/Desktop/my%20web/chuongnh/hastech.company/tf/academia-preview/academia/img/home1/about.jpg	(from http://hastech.company/tf/academia-preview/academia/css/style.css)
